municipio_sem_acento|ibge7|nome_oficial
abadia dos dourados|3100104|Abadia dos Dourados
abaete|3100203|Abaeté
abre campo|3100302|Abre Campo
acaiaca|3100401|Acaiaca
acucena|3100500|Açucena
agua boa|3100609|Água Boa
agua comprida|3100708|Água Comprida
aguanil|3100807|Aguanil
aguas formosas|3100906|Águas Formosas
aguas vermelhas|3101003|Águas Vermelhas
aimores|3101102|Aimorés
aiuruoca|3101201|Aiuruoca
alagoa|3101300|Alagoa
albertina|3101409|Albertina
alem paraiba|3101508|Além Paraíba
alfenas|3101607|Alfenas
alfredo vasconcelos|3101631|Alfredo Vasconcelos
almenara|3101706|Almenara
alpercata|3101805|Alpercata
alpinopolis|3101904|Alpinópolis
alterosa|3102001|Alterosa
alto caparao|3102050|Alto Caparaó
alto jequitiba|3153509|Alto Jequitibá
alto rio doce|3102100|Alto Rio Doce
alvarenga|3102209|Alvarenga
alvinopolis|3102308|Alvinópolis
alvorada de minas|3102407|Alvorada de Minas
amparo do serra|3102506|Amparo do Serra
andradas|3102605|Andradas
andrelandia|3102803|Andrelândia
angelandia|3102852|Angelândia
antonio carlos|3102902|Antônio Carlos
antonio dias|3103009|Antônio Dias
antonio prado de minas|3103108|Antônio Prado de Minas
aracai|3103207|Araçaí
aracitaba|3103306|Aracitaba
aracuai|3103405|Araçuaí
araguari|3103504|Araguari
arantina|3103603|Arantina
araponga|3103702|Araponga
arapora|3103751|Araporã
arapua|3103801|Arapuá
araujos|3103900|Araújos
araxa|3104007|Araxá
arceburgo|3104106|Arceburgo
arcos|3104205|Arcos
areado|3104304|Areado
argirita|3104403|Argirita
aricanduva|3104452|Aricanduva
arinos|3104502|Arinos
astolfo dutra|3104601|Astolfo Dutra
ataleia|3104700|Ataléia
augusto de lima|3104809|Augusto de Lima
baependi|3104908|Baependi
baldim|3105004|Baldim
bambui|3105103|Bambuí
bandeira|3105202|Bandeira
bandeira do sul|3105301|Bandeira do Sul
barao de cocais|3105400|Barão de Cocais
barao de monte alto|3105509|Barão de Monte Alto
barbacena|3105608|Barbacena
barra longa|3105707|Barra Longa
barroso|3105905|Barroso
bela vista de minas|3106002|Bela Vista de Minas
belmiro braga|3106101|Belmiro Braga
belo horizonte|3106200|Belo Horizonte
belo oriente|3106309|Belo Oriente
belo vale|3106408|Belo Vale
berilo|3106507|Berilo
berizal|3106655|Berizal
bertopolis|3106606|Bertópolis
betim|3106705|Betim
bias fortes|3106804|Bias Fortes
bicas|3106903|Bicas
biquinhas|3107000|Biquinhas
boa esperanca|3107109|Boa Esperança
bocaina de minas|3107208|Bocaina de Minas
bocaiuva|3107307|Bocaiúva
bom despacho|3107406|Bom Despacho
bom jardim de minas|3107505|Bom Jardim de Minas
bom jesus da penha|3107604|Bom Jesus da Penha
bom jesus do amparo|3107703|Bom Jesus do Amparo
bom jesus do galho|3107802|Bom Jesus do Galho
bom repouso|3107901|Bom Repouso
bom sucesso|3108008|Bom Sucesso
bonfim|3108107|Bonfim
