ibge;nome;uf;tipo_coleta;contratos_n;licitacoes_n;anos_ok;ultimo_erro;atualizado_em
5300108;Brasília;DF;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
5208707;Goiânia;GO;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
5103403;Cuiabá;MT;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
5002704;Campo Grande;MS;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
4314902;Porto Alegre;RS;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
4205407;Florianópolis;SC;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
4106902;Curitiba;PR;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
2800308;Aracaju;SE;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
2704302;Maceió;AL;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
2507507;João Pessoa;PB;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
2408102;Natal;RN;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
2304400;Fortaleza;CE;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
1721000;Palmas;TO;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
1600303;Macapá;AP;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
1501402;Belém;PA;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
1400100;Boa Vista;RR;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
1302603;Manaus;AM;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
1100205;Porto Velho;RO;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
1200401;Rio Branco;AC;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
2111300;São Luís;MA;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
2211001;Teresina;PI;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
2611606;Recife;PE;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
2927408;Salvador;BA;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
3205309;Vitória;ES;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
3304557;Rio de Janeiro;RJ;capital;0;0;nenhum;pendente_fase_a;2026-09-24T16:10:41.965Z
