data;abertura;maxima;minima;fechamento;volume
2015-01-02;21,70;21,95;21,06;21,28;120672152,00
2015-01-05;20,76;21,13;20,51;20,96;173776434,00
2015-01-06;21,27;22,13;21,07;21,80;212788714,00
2015-01-07;22,32;22,81;21,97;22,60;135618045,00
2015-01-08;22,77;22,88;22,11;22,84;104941063,00
2015-01-09;22,59;22,85;22,29;22,35;80426260,00
2015-01-12;22,11;22,65;21,93;22,64;100940967,00
2015-01-13;22,70;23,13;22,51;22,51;138353492,00
2015-01-14;21,80;22,00;20,69;20,70;230101143,00
2015-01-15;20,80;21,26;20,45;20,94;120767192,00
2015-01-16;21,05;22,22;20,85;21,88;85680704,00
2015-01-19;21,45;21,68;21,30;21,65;45170451,00
2015-01-20;22,08;22,08;21,52;21,74;44663799,00
2015-01-21;21,87;22,28;21,51;22,08;62850131,00
2015-01-22;22,35;22,87;21,76;21,91;89307796,00
2015-01-23;21,50;21,60;20,47;20,52;151241415,00
2015-01-26;20,01;20,11;19,57;19,58;98493046,00
2015-01-27;19,37;19,54;18,58;19,00;104539827,00
2015-01-28;18,72;19,35;18,65;18,95;75852897,00
2015-01-29;19,00;19,21;17,91;18,05;158945414,00
2015-01-30;17,70;18,68;17,65;18,61;131716704,00
2015-02-02;18,95;19,82;18,65;19,74;122071091,00
2015-02-03;20,34;21,22;20,13;20,87;204861505,00
2015-02-04;20,88;21,17;20,16;20,55;151206912,00
2015-02-05;20,56;21,17;20,43;20,45;93971965,00
2015-02-06;20,21;20,63;19,96;20,42;88761115,00
2015-02-09;20,25;21,86;20,21;21,59;95206066,00
2015-02-10;21,28;21,61;20,40;20,40;117748383,00
2015-02-11;20,33;21,18;20,33;21,10;119451730,00
2015-02-12;21,70;21,87;21,27;21,58;121288815,00
2015-02-13;21,89;22,70;21,81;22,48;155415881,00
2015-02-18;22,70;23,00;22,68;22,71;132272780,00
2015-02-19;22,88;22,88;22,04;22,10;102713090,00
2015-02-20;22,21;22,71;21,95;22,62;56546818,00
2015-02-23;22,10;22,28;21,38;21,62;121138017,00
2015-02-24;21,65;22,29;21,59;22,04;140836565,00
2015-02-25;21,83;22,26;21,80;22,14;104727005,00
2015-02-26;21,87;21,94;20,88;21,25;156425773,00
2015-02-27;21,35;21,63;21,11;21,25;105830950,00
2015-03-02;21,16;21,25;20,39;20,56;95130559,00
2015-03-03;20,71;21,12;20,62;20,79;91093307,00
2015-03-04;20,48;20,67;20,09;20,39;121180851,00
2015-03-05;20,38;20,38;19,39;19,50;140902565,00
2015-03-06;19,45;19,87;19,07;19,59;141754274,00
2015-03-09;19,43;19,77;19,15;19,54;103781908,00
2015-03-10;19,13;19,53;19,04;19,10;109646334,00
2015-03-11;19,13;19,18;18,78;18,86;210702613,00
2015-03-12;19,12;19,56;18,86;18,86;197353779,00
2015-03-13;18,60;19,13;18,15;18,88;261898074,00
2015-03-16;19,07;19,33;18,53;18,90;143723226,00
2015-03-17;18,98;20,00;18,97;19,88;167794761,00
2015-03-18;19,55;19,71;19,13;19,59;182153968,00
2015-03-19;19,65;19,67;19,15;19,15;66955048,00
2015-03-20;19,47;20,25;19,09;20,25;201530072,00
2015-03-23;20,33;20,46;19,88;20,38;97471943,00
2015-03-24;20,20;20,43;19,41;19,58;101814039,00
2015-03-25;19,74;19,94;19,28;19,76;90576961,00
2015-03-26;19,60;19,81;18,92;18,92;131378238,00
2015-03-27;18,83;18,88;18,17;18,35;110210742,00
2015-03-30;18,62;18,73;18,23;18,62;74082343,00
2015-03-31;18,31;18,37;17,83;17,94;84427799,00
2015-04-01;17,78;17,81;17,37;17,54;184286680,00
2015-04-02;17,46;18,14;17,17;18,00;114392611,00
2015-04-06;18,24;18,50;17,88;18,13;85342041,00
2015-04-07;18,35;19,20;18,27;19,00;219987370,00
2015-04-08;19,45;19,55;18,63;18,75;122607521,00
2015-04-09;18,45;18,93;18,19;18,80;145873575,00
2015-04-10;18,80;18,93;18,42;18,42;70528581,00
2015-04-13;18,40;18,87;18,04;18,24;86546932,00
2015-04-14;18,55;19,25;18,55;18,75;128683324,00
2015-04-15;18,45;18,71;18,10;18,60;156081494,00
2015-04-16;18,46;18,72;18,01;18,06;85964548,00
2015-04-17;17,91;18,12;17,76;17,80;72379645,00
