ibge;nome;uf;tipo;status;cnpj_prefeitura;contratos_total;contratos_ok;licitacoes_total;licitacoes_ok;cidade_completa;ultimo_erro;atualizado_em
3103105;Araçuaí;MG;polo-interior;excluida-principal;;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3104007;Araxá;MG;polo-interior;pronta;18140756000100;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3105608;Barbacena;MG;polo-interior;pronta;17095043000109;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3106705;Betim;MG;polo-interior;excluida-principal;18715391000196;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3118601;Contagem;MG;polo-interior;pronta;18715508000131;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3122003;Diamantina;MG;polo-interior;excluida-principal;;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3122306;Divinópolis;MG;polo-interior;pronta;18291351000164;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3127701;Governador Valadares;MG;polo-interior;pronta;20622890000180;6;6;42;42;sim;;2026-09-24T13:09:29+00:00
3131002;Itinga;MG;polo-interior;excluida-principal;;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3131307;Ipatinga;MG;polo-interior;pronta;19876424000142;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3136702;Juiz de Fora;MG;polo-interior;pronta;18338178000102;6;6;44;44;sim;;2026-09-24T13:09:29+00:00
3143302;Montes Claros;MG;polo-interior;pronta;22678874000135;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3147907;Passos;MG;polo-interior;pronta;18241745000108;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3148004;Patos de Minas;MG;polo-interior;pronta;18602011000107;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3151800;Poços de Caldas;MG;polo-interior;pronta;18629840000183;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3152501;Pouso Alegre;MG;polo-interior;pronta;18675983000121;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3167202;Sete Lagoas;MG;polo-interior;pronta;24996969000122;6;6;78;78;sim;;2026-09-24T13:09:29+00:00
3168606;Teófilo Otoni;MG;polo-interior;pronta;18404780000109;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3170107;Uberaba;MG;polo-interior;pronta;18428839000190;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3170206;Uberlândia;MG;polo-interior;pronta;18431312000620;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3170701;Varginha;MG;polo-interior;pronta;19110162000100;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3106200;Belo Horizonte;MG;capital;excluida-principal;18715383000140;36;36;78;78;sim;;2026-09-24T13:09:29+00:00
3203205;Linhares;ES;polo-interior;pronta;27167410000188;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3205002;Serra;ES;polo-interior;bloqueada-cnpj;;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3301009;Campos dos Goytacazes;RJ;polo-interior;pronta;29116894000161;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3301702;Duque de Caxias;RJ;polo-interior;pronta;29138328000150;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3302403;Macaé;RJ;polo-interior;pronta;29115474000160;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3303302;Niterói;RJ;polo-interior;pronta;28521748000159;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3303401;Nova Friburgo;RJ;polo-interior;pronta;28606630000123;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3303906;Petrópolis;RJ;polo-interior;pronta;29138344000143;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3304904;São Gonçalo;RJ;polo-interior;pronta;28636579000100;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3306305;Volta Redonda;RJ;polo-interior;pronta;32512501000143;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3503208;Araraquara;SP;polo-interior;pronta;45276128000110;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3506003;Bauru;SP;polo-interior;pronta;46137410000180;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3509502;Campinas;SP;polo-interior;pronta;51885242000140;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3510609;Carapicuíba;SP;polo-interior;pronta;44892693000140;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3513801;Diadema;SP;polo-interior;pronta;46523247000193;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3516200;Franca;SP;polo-interior;pronta;47970769000104;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3518800;Guarulhos;SP;polo-interior;pronta;46319000000150;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3525904;Jundiaí;SP;polo-interior;pronta;45780103000150;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3526902;Limeira;SP;polo-interior;pronta;45132495000140;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3529005;Marília;SP;polo-interior;pronta;44477909000100;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3529401;Mauá;SP;polo-interior;pronta;46522959000198;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3534401;Osasco;SP;polo-interior;pronta;46523171000104;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3538709;Piracicaba;SP;polo-interior;pronta;46341038000129;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3541406;Presidente Prudente;SP;polo-interior;pronta;55356653000108;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3543402;Ribeirão Preto;SP;polo-interior;pronta;56024581000156;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3547809;Santo André;SP;polo-interior;pronta;46522942000130;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3548500;Santos;SP;polo-interior;pronta;58200015000183;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3548708;São Bernardo do Campo;SP;polo-interior;pronta;46523239000147;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3548807;São Caetano do Sul;SP;polo-interior;pronta;59307595000175;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3549805;São José do Rio Preto;SP;polo-interior;pronta;46588950000180;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3549904;São José dos Campos;SP;polo-interior;pronta;46643466000106;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3552205;Sorocaba;SP;polo-interior;pronta;46634044000174;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3554102;Taubaté;SP;polo-interior;pronta;45176005000108;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3205309;Vitória;ES;capital;delegada;27142058000126;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3304557;Rio de Janeiro;RJ;capital;delegada;42498733000148;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
3550308;São Paulo;SP;capital;excluida-principal;46395000000139;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1100049;Cacoal;RO;polo-interior;pronta;04092714000128;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1100122;Ji-Paraná;RO;polo-interior;pronta;04092672000125;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
1100304;Vilhena;RO;polo-interior;pronta;04092706000181;0;0;0;0;nao;;2026-09-24T13:09:29+00:00
